"","rules","support","confidence","lift","count"
"53","{Instant food products,soda} => {hamburger meat}",0.00122013218098627,0.631578947368421,18.9956542732979,12
"37","{popcorn,soda} => {salty snack}",0.00122013218098627,0.631578947368421,16.6977928692699,12
"444","{baking powder,flour} => {sugar}",0.00101677681748856,0.555555555555556,16.4080747414081,10
"327","{ham,processed cheese} => {white bread}",0.00193187595322827,0.633333333333333,15.0454911433172,19
"55","{Instant food products,whole milk} => {hamburger meat}",0.00152516522623284,0.5,15.0382262996942,15
"4807","{curd,other vegetables,whipped/sour cream,yogurt} => {cream cheese}",0.00101677681748856,0.588235294117647,14.8340874811463,10
"330","{domestic eggs,processed cheese} => {white bread}",0.00111845449923742,0.523809523809524,12.4436392914654,11
"4858","{other vegetables,tropical fruit,white bread,yogurt} => {butter}",0.00101677681748856,0.666666666666667,12.0305810397554,10
"2261","{hamburger meat,whipped/sour cream,yogurt} => {butter}",0.00101677681748856,0.625,11.2786697247706,10
"5638","{domestic eggs,other vegetables,tropical fruit,whole milk,yogurt} => {butter}",0.00101677681748856,0.625,11.2786697247706,10
"18","{liquor,red/blush wine} => {bottled beer}",0.00193187595322827,0.904761904761905,11.2352693602694,19
"4806","{cream cheese,other vegetables,whipped/sour cream,yogurt} => {curd}",0.00101677681748856,0.588235294117647,11.0406376290974,10
"1822","{hard cheese,whipped/sour cream,yogurt} => {butter}",0.00101677681748856,0.588235294117647,10.61521856449,10
"5633","{other vegetables,rolls/buns,root vegetables,tropical fruit,whole milk} => {beef}",0.00111845449923742,0.55,10.4830426356589,11
"4734","{sliced cheese,tropical fruit,whole milk,yogurt} => {butter}",0.00101677681748856,0.555555555555556,10.0254841997961,10
"2415","{butter,other vegetables,sugar} => {whipped/sour cream}",0.00101677681748856,0.714285714285714,9.9645390070922,10
"1827","{hard cheese,whipped/sour cream,whole milk} => {butter}",0.00142348754448399,0.538461538461538,9.71700776287932,14
"1819","{domestic eggs,hard cheese,other vegetables} => {butter}",0.00101677681748856,0.526315789473684,9.49782713664896,10
"5168","{fruit/vegetable juice,other vegetables,tropical fruit,whipped/sour cream} => {butter}",0.00101677681748856,0.526315789473684,9.49782713664896,10
"2158","{onions,tropical fruit,yogurt} => {butter}",0.00111845449923742,0.523809523809524,9.45259938837921,11
"5153","{domestic eggs,other vegetables,tropical fruit,yogurt} => {butter}",0.00111845449923742,0.523809523809524,9.45259938837921,11
"3426","{butter,pastry,yogurt} => {curd}",0.00101677681748856,0.5,9.38454198473282,10
"1826","{butter,hard cheese,whole milk} => {whipped/sour cream}",0.00142348754448399,0.666666666666667,9.30023640661939,14
"5167","{butter,fruit/vegetable juice,other vegetables,tropical fruit} => {whipped/sour cream}",0.00101677681748856,0.666666666666667,9.30023640661939,10
"4820","{citrus fruit,cream cheese,other vegetables,whole milk} => {domestic eggs}",0.00111845449923742,0.578947368421053,9.12491565452092,11
"4810","{cream cheese,curd,whole milk,yogurt} => {whipped/sour cream}",0.00111845449923742,0.647058823529412,9.02670004171882,11
"1830","{hard cheese,other vegetables,tropical fruit} => {butter}",0.00101677681748856,0.5,9.02293577981651,10
"5044","{napkins,other vegetables,whipped/sour cream,whole milk} => {butter}",0.00101677681748856,0.5,9.02293577981651,10
"2699","{citrus fruit,cream cheese,whole milk} => {domestic eggs}",0.0016268429079817,0.571428571428571,9.00641025641026,16
"1517","{frozen fish,other vegetables,tropical fruit} => {pip fruit}",0.00101677681748856,0.666666666666667,8.81272401433692,10
"1821","{butter,hard cheese,yogurt} => {whipped/sour cream}",0.00101677681748856,0.625,8.71897163120567,10
"2401","{curd,sugar,yogurt} => {whipped/sour cream}",0.00101677681748856,0.625,8.71897163120567,10
"5192","{butter,other vegetables,soda,whole milk} => {whipped/sour cream}",0.00101677681748856,0.625,8.71897163120567,10
"2390","{cream cheese,sugar,whole milk} => {domestic eggs}",0.00111845449923742,0.55,8.66866987179487,11
"634","{frozen vegetables,specialty chocolate} => {fruit/vegetable juice}",0.00101677681748856,0.625,8.64539381153305,10
"4399","{shopping bags,tropical fruit,whipped/sour cream} => {pip fruit}",0.00111845449923742,0.647058823529412,8.55352624920936,11
"1726","{citrus fruit,grapes,tropical fruit} => {fruit/vegetable juice}",0.00111845449923742,0.611111111111111,8.45327394905454,11
"1824","{butter,hard cheese,other vegetables} => {whipped/sour cream}",0.00122013218098627,0.6,8.37021276595745,12
"1998","{butter,sliced cheese,whole milk} => {whipped/sour cream}",0.00122013218098627,0.6,8.37021276595745,12
"5339","{citrus fruit,fruit/vegetable juice,other vegetables,soda} => {root vegetables}",0.00101677681748856,0.909090909090909,8.34040027137042,10
"5626","{oil,other vegetables,tropical fruit,whole milk,yogurt} => {root vegetables}",0.00101677681748856,0.909090909090909,8.34040027137042,10
"1725","{fruit/vegetable juice,grapes,tropical fruit} => {citrus fruit}",0.00111845449923742,0.6875,8.30658783783784,11
"3727","{domestic eggs,frankfurter,tropical fruit} => {pip fruit}",0.00101677681748856,0.625,8.26192876344086,10
"4708","{frozen meals,tropical fruit,whole milk,yogurt} => {pip fruit}",0.00101677681748856,0.625,8.26192876344086,10
"4805","{cream cheese,curd,other vegetables,yogurt} => {whipped/sour cream}",0.00101677681748856,0.588235294117647,8.20609094701711,10
"1648","{flour,root vegetables,whole milk} => {whipped/sour cream}",0.00172852058973055,0.586206896551724,8.17779408168256,17
"2422","{citrus fruit,sugar,whole milk} => {domestic eggs}",0.00142348754448399,0.518518518518518,8.17248338081671,14
"1719","{misc. beverages,other vegetables,tropical fruit} => {fruit/vegetable juice}",0.00101677681748856,0.588235294117647,8.13684123438405,10
"1966","{ham,other vegetables,tropical fruit} => {pip fruit}",0.0016268429079817,0.615384615384615,8.13482216708023,16
"4823","{citrus fruit,cream cheese,other vegetables,whole milk} => {whipped/sour cream}",0.00111845449923742,0.578947368421053,8.07652108995894,11
"1724","{citrus fruit,fruit/vegetable juice,grapes} => {tropical fruit}",0.00111845449923742,0.846153846153846,8.06387895050686,11
"5383","{pastry,rolls/buns,whipped/sour cream,whole milk} => {citrus fruit}",0.00101677681748856,0.666666666666667,8.05487305487305,10
"1689","{other vegetables,soft cheese,tropical fruit} => {whipped/sour cream}",0.00122013218098627,0.571428571428571,7.97163120567376,12
"4687","{other vegetables,rice,whole milk,yogurt} => {root vegetables}",0.00132180986273513,0.866666666666667,7.9511815920398,13
"4765","{oil,other vegetables,tropical fruit,whole milk} => {root vegetables}",0.00132180986273513,0.866666666666667,7.9511815920398,13
"4721","{ham,other vegetables,pip fruit,yogurt} => {tropical fruit}",0.00101677681748856,0.833333333333333,7.94169896640827,10
"1671","{butter,soft cheese,whole milk} => {domestic eggs}",0.00101677681748856,0.5,7.88060897435897,10
"1818","{butter,hard cheese,other vegetables} => {domestic eggs}",0.00101677681748856,0.5,7.88060897435897,10
"2326","{citrus fruit,hygiene articles,tropical fruit} => {pip fruit}",0.00101677681748856,0.588235294117647,7.77593295382669,10
"4722","{ham,other vegetables,tropical fruit,yogurt} => {pip fruit}",0.00101677681748856,0.588235294117647,7.77593295382669,10
"5086","{brown bread,other vegetables,tropical fruit,yogurt} => {pip fruit}",0.00101677681748856,0.588235294117647,7.77593295382669,10
"2260","{butter,hamburger meat,yogurt} => {whipped/sour cream}",0.00101677681748856,0.555555555555556,7.75019700551615,10
"5043","{butter,napkins,other vegetables,whole milk} => {whipped/sour cream}",0.00101677681748856,0.555555555555556,7.75019700551615,10
"4726","{ham,other vegetables,tropical fruit,whole milk} => {pip fruit}",0.00111845449923742,0.578947368421053,7.65315506508206,11
"4941","{beef,citrus fruit,other vegetables,tropical fruit} => {root vegetables}",0.00101677681748856,0.833333333333333,7.64536691542289,10
"2020","{root vegetables,sliced cheese,yogurt} => {whipped/sour cream}",0.00122013218098627,0.545454545454545,7.60928433268859,12
"2654","{cream cheese,curd,yogurt} => {whipped/sour cream}",0.00132180986273513,0.541666666666667,7.55644208037825,13
"1554","{herbs,other vegetables,tropical fruit} => {citrus fruit}",0.00101677681748856,0.625,7.55144348894349,10
"1728","{fruit/vegetable juice,grapes,other vegetables} => {tropical fruit}",0.00111845449923742,0.785714285714286,7.48788759689922,11
"5663","{bottled water,other vegetables,root vegetables,whole milk,yogurt} => {tropical fruit}",0.00111845449923742,0.785714285714286,7.48788759689922,11
"4819","{cream cheese,domestic eggs,other vegetables,whole milk} => {citrus fruit}",0.00111845449923742,0.611111111111111,7.38363363363363,11
"4874","{root vegetables,white bread,whole milk,yogurt} => {pip fruit}",0.00101677681748856,0.555555555555556,7.3439366786141,10
"30","{instant coffee,other vegetables} => {whipped/sour cream}",0.00101677681748856,0.526315789473684,7.34229189996267,10
"2681","{cream cheese,margarine,yogurt} => {whipped/sour cream}",0.00101677681748856,0.526315789473684,7.34229189996267,10
"4901","{frozen vegetables,other vegetables,root vegetables,yogurt} => {whipped/sour cream}",0.00101677681748856,0.526315789473684,7.34229189996267,10
"5125","{margarine,tropical fruit,whole milk,yogurt} => {whipped/sour cream}",0.00101677681748856,0.526315789473684,7.34229189996267,10
"5637","{butter,domestic eggs,other vegetables,whole milk,yogurt} => {tropical fruit}",0.00101677681748856,0.769230769230769,7.33079904591533,10
"1693","{root vegetables,soft cheese,whole milk} => {whipped/sour cream}",0.00122013218098627,0.521739130434783,7.27844588344126,12
"5390","{citrus fruit,other vegetables,sausage,whole milk} => {whipped/sour cream}",0.00122013218098627,0.521739130434783,7.27844588344126,12
"1794","{frozen meals,tropical fruit,yogurt} => {pip fruit}",0.00111845449923742,0.55,7.27049731182796,11
"3168","{frozen vegetables,root vegetables,yogurt} => {whipped/sour cream}",0.00132180986273513,0.52,7.25418439716312,13
"4761","{oil,tropical fruit,whole milk,yogurt} => {root vegetables}",0.00111845449923742,0.785714285714286,7.20848880597015,11
"2328","{hygiene articles,sausage,whole milk} => {pip fruit}",0.00132180986273513,0.541666666666667,7.16033826164874,13
"708","{butter,hard cheese} => {whipped/sour cream}",0.00203355363497712,0.512820512820513,7.15402800509183,20
"1496","{rice,whole milk,yogurt} => {root vegetables}",0.00142348754448399,0.777777777777778,7.13567578772803,14
"1552","{bottled water,herbs,whole milk} => {citrus fruit}",0.00101677681748856,0.588235294117647,7.10724093077034,10
"19","{liquor,soda} => {bottled beer}",0.00122013218098627,0.571428571428571,7.0959595959596,12
"2084","{citrus fruit,fruit/vegetable juice,oil} => {root vegetables}",0.00101677681748856,0.769230769230769,7.05726176808266,10
"2853","{chicken,citrus fruit,sausage} => {root vegetables}",0.00101677681748856,0.769230769230769,7.05726176808266,10
"3307","{beef,citrus fruit,whipped/sour cream} => {root vegetables}",0.00101677681748856,0.769230769230769,7.05726176808266,10
